Input_Param,Recovered_Param
5.0,5.007902612912073
4.9393939393939394,4.918645649057792
4.878787878787879,4.868489768162887
4.818181818181818,4.827808168041163
4.757575757575758,4.76956653449224
4.696969696969697,4.6755550374047985
4.636363636363637,4.643627580911824
4.575757575757576,4.56039804412166
4.515151515151516,4.514235035166009
4.454545454545455,4.440436018751438
4.393939393939394,4.39893152639757
4.333333333333333,4.312324238526612
4.2727272727272725,4.251711910298684
4.212121212121212,4.194666055876718
4.151515151515151,4.140106397820903
4.090909090909091,4.077640766263601
4.03030303030303,4.009610082459623
3.9696969696969697,3.9633562344386504
3.909090909090909,3.8981150860732803
3.8484848484848486,3.842212410824859
3.787878787878788,3.764065246892995
3.7272727272727275,3.721972757422711
3.6666666666666665,3.66336691757665
3.606060606060606,3.5980969035043797
3.5454545454545454,3.5244931759046607
3.484848484848485,3.4790990471860987
3.4242424242424243,3.415230487572045
3.3636363636363633,3.3450821718044503
3.3030303030303028,3.2880958330361274
3.242424242424242,3.2209377139059994
3.1818181818181817,3.1713234810488347
3.121212121212121,3.106508827179149
3.0606060606060606,3.041294636537569
3.0,2.983545145158412
2.9393939393939394,2.927797814726199
2.878787878787879,2.8751200251010656
2.8181818181818183,2.8002075405444824
2.7575757575757573,2.740944567230545
2.696969696969697,2.687450397473677
2.6363636363636362,2.6288376677443925
2.5757575757575757,2.557752433726596
2.515151515151515,2.4934274637168357
2.4545454545454546,2.4387474053893707
2.393939393939394,2.3819531402869094
2.333333333333333,2.3183456681409464
2.2727272727272725,2.255298536258053
2.212121212121212,2.196011521966819
2.1515151515151514,2.140406600184784
2.090909090909091,2.083077663527046
2.0303030303030303,1.9871754608558063
1.9696969696969697,1.9621799216378535
1.9090909090909092,1.9033681798465452
1.8484848484848486,1.8483050531668994
1.7878787878787876,1.7868697248840655
1.727272727272727,1.731159180492081
1.6666666666666665,1.6664575861053392
1.606060606060606,1.6094200072468987
1.5454545454545454,1.5512520141170105
1.4848484848484849,1.4905845024486433
1.4242424242424243,1.4219214335651926
1.3636363636363633,1.3637789173239665
1.3030303030303028,1.2997006535766251
1.2424242424242422,1.2414634309108843
1.1818181818181817,1.1815887896270643
1.121212121212121,1.1129317522572268
1.0606060606060606,1.0549918036896135
1.0,0.9952330942362446
0.9393939393939394,0.9356467129896483
0.8787878787878789,0.8828191923045029
0.8181818181818183,0.8130341253843941
0.7575757575757578,0.7556171606173376
0.6969696969696972,0.6956320778134777
0.6363636363636367,0.636913070997719
0.5757575757575752,0.5804484569161694
0.5151515151515147,0.5103640041213842
0.45454545454545414,0.4545618013415654
0.3939393939393936,0.39085365860535487
0.33333333333333304,0.3350762762521959
0.2727272727272725,0.2689155966023609
0.21212121212121193,0.21398740378738018
0.15151515151515138,0.1474007947651241
0.09090909090909083,0.09492828846007438
0.030303030303030276,0.026929737201199705
-0.030303030303030276,-0.030231156620443466
-0.09090909090909083,-0.08823896367373066
-0.15151515151515138,-0.14658752985340615
-0.21212121212121193,-0.2098039758117815
-0.2727272727272725,-0.27169543209049885
-0.3333333333333339,-0.3265085913496172
-0.3939393939393945,-0.3920362005718194
-0.45454545454545503,-0.44782410343634693
-0.5151515151515156,-0.5134464712932372
-0.5757575757575761,-0.5692971137188106
-0.6363636363636367,-0.6338980771983481
-0.6969696969696972,-0.6882392897522134
-0.7575757575757578,-0.7564001687540836
-0.8181818181818183,-0.8094427177894797
-0.8787878787878789,-0.8715879087193882
-0.9393939393939394,-0.9298561415964286
-1.0,-0.9940854127773084
